Specie_name,Leaf Dimension Ratio,Length of the petiole,Angle of leaf base,Angle of leaf tip,Branch/Trunk Spikes (1 or 0)
Ceylon olive,2.56,2,90,100,0
Ceylon olive,2.55,2.4,90,110,0
Ceylon olive,2.36,1.5,70,130,0
Ceylon olive,2.42,1.4,80,110,0
Ceylon olive,2.4,1.4,80,120,0
Ceylon olive,2.54,1.7,70,100,0
Ceylon olive,2.38,1.3,80,100,0
Ceylon olive,2.35,1.5,70,90,0
Ceylon olive,2.15,2.2,80,120,0
Ceylon olive,2.31,2.4,70,90,0
Ceylon olive,2.29,2,90,110,0
Ceylon olive,2.17,1.4,70,130,0
Ceylon olive,2.53,2,70,110,0
Ceylon olive,2.34,1.9,90,90,0
Ceylon olive,2.41,2.9,50,100,0
Ceylon olive,1.82,1.2,70,100,0
Ceylon olive,1.76,1.4,80,100,0
Ceylon olive,1.7,1,90,120,0
Ceylon olive,2.03,1.2,80,90,0
Ceylon olive,2.17,1.9,70,100,0
Ceylon olive,1.78,1.2,80,100,0
Ceylon olive,2.13,1.5,70,120,0
Ceylon olive,1.87,1.7,80,90,0
Ceylon olive,2.33,1.8,70,70,0
Ceylon olive,1.8,1,70,70,0
Ceylon olive,1.94,1.8,80,90,0
Ceylon olive,2.11,1.4,90,50,0
Ceylon olive,2.11,2.4,70,130,0
Ceylon olive,1.88,1.3,70,110,0
Ceylon olive,2.21,1.5,50,100,0
Ceylon olive,1.9,1.7,90,90,0
Hibiscus,2.15,3.5,128,80,0
Hibiscus,2.2,7.7,122,48,0
Hibiscus,1.86,7,111,53,0
Hibiscus,1.8,3.3,125,43,0
Hibiscus,1.82,3.6,140,52,0
Hibiscus,1.98,5.6,129,60,0
Hibiscus,1.82,3.6,144,55,0
Hibiscus,1.94,4.9,135,54,0
Hibiscus,1.98,4.6,110,40,0
Hibiscus,2.03,5,123,64,0
Hibiscus,2.08,7.2,142,72,0
Hibiscus,1.81,6.5,110,56,0
Hibiscus,1.98,8.1,137,58,0
Hibiscus,1.87,6.9,105,62,0
Hibiscus,1.71,6.6,130,48,0
Hibiscus,1.71,4.3,145,74,0
Hibiscus,1.56,4.5,104,75,0
Hibiscus,1.54,3.3,133,49,0
Hibiscus,1.56,2.5,125,76,0
Hibiscus,1.81,2.5,128,44,0
Hibiscus,1.54,2.6,134,72,0
Hibiscus,1.59,2,103,56,0
Hibiscus,1.59,1.8,111,48,0
Hibiscus,1.91,2.4,117,41,0
Hibiscus,1.63,4.7,142,40,0
Hibiscus,1.7,3.5,118,63,0
Hibiscus,1.76,8.2,143,75,0
Hibiscus,1.57,7.1,135,63,0
Hibiscus,1.89,4.4,110,44,0
Hibiscus,1.98,5.6,129,60,0
Hibiscus,1.72,8.3,133,40,0
Governor's plum,9.5,0.3,120,40,1
Governor's plum,9.4,0.5,120,29,1
Governor's plum,7,0.3,110,15,1
Governor's plum,9.2,0.5,125,20,1
Governor's plum,8.5,0.5,110,15,1
Governor's plum,5.2,0.4,85,10,1
Governor's plum,4,0.4,80,10,1
Governor's plum,6.5,0.2,100,15,1
Governor's plum,9,0.4,110,18,1
Governor's plum,3,0.4,70,8,1
Governor's plum,10.3,0.4,120,30,1
Governor's plum,7.7,0.5,100,40,1
Governor's plum,7.8,0.5,85,20,1
Governor's plum,8.2,0.3,110,19,1
Governor's plum,2.5,0.4,60,10,1
Governor's plum,8.5,0.3,110,15,1
Governor's plum,2.3,0.4,55,10,1
Governor's plum,7.8,0.4,45,9,1
Governor's plum,8.5,0.3,50,25,1
Governor's plum,6,0.4,55,10,1
Governor's plum,8.6,0.4,80,15,1
Governor's plum,5.5,0.3,52,12,1
Governor's plum,6.8,0.3,82,10,1
Governor's plum,10,0.5,110,15,1
Governor's plum,8.5,0.3,85,10,1
Governor's plum,6.9,0.3,60,15,1
Governor's plum,5.5,0.3,48,18,1
Governor's plum,9.2,0.4,100,15,1
Governor's plum,6.5,0.4,80,19,1
Governor's plum,10,0.5,115,30,1
Governor's plum,8.3,0.5,110,40,1
